theme,image_url,lines,author
HOPE,/quotes/images/7580/large_20251230_tuesday_quote.jpg,"Let your hopes, not your hurts, shape your future.",<Author:0x00007fcdfbe57948>
HOPE,/quotes/images/8155/large_20251229_monday_quote.jpg,"Hope sees the invisible, feels the intangible, and achieves the impossible.",<Author:0x00007fcdfbe56cc8>
JOY,/quotes/images/8022/large_20251226_friday_quote.jpg,"The essence of life is not in the great victories and grand failures, but in the simple joys.",<Author:0x00007fcdfbe56548>
JOY,/quotes/images/8407/large_20251225_thursday_quote.jpg,The joy of giving is the greatest joy of life.,<Author:0x00007fcdfbe55c88>
JOY,/quotes/images/7571/large_20251224_wednesday_quote.jpg,"Happiness—not in another place, but this place... not for another hour, but for this hour.",<Author:0x00007fcdfbe55508>
JOY,/quotes/images/7844/large_20251223_tuesday_quote.jpg,Joy is the kind of happiness that doesn’t depend on what happens.,<Author:0x00007fcdfbe55008>
JOY,/quotes/images/8322/large_20251222_monday_quote.jpg,"If you carry joy in your heart, you can heal any moment.",<Author:0x00007fcdfbe54b08>
BE A LIGHT,/quotes/images/6067/large_20261219_friday_quote.jpg,"Don't worry when you are not recognized, but strive to be worthy of recognition. ",<Author:0x00007fcdfbe52e48>
BE A LIGHT,/quotes/images/7190/large_20261218_thursday_quote.jpg,"I have not failed. I've just found 10,000 ways that won't work.",<Author:0x00007fcdfbe52948>
BE A LIGHT,/quotes/images/5819/large_20261217_wednesday_quote.jpg,"When you start to develop your powers of empathy and imagination, the whole world opens up to you.",<Author:0x00007fcdfbe52088>
BE A LIGHT,/quotes/images/6638/large_20261216_tuesday_quote.jpg,The only person you are destined to become is the person you decide to be.,<Author:0x00007fcdfbe51908>
BE A LIGHT,/quotes/images/8296/large_20261215_monday_quote.jpg,"When we strive to become better than we are, everything around us becomes better, too.",<Author:0x00007fcdfbe50c88>
PRACTICE,/quotes/images/8466/large_20251212_friday_quote.jpg,Practice like you’ve never won. Play like you’ve never lost.,<Author:0x00007fcdfbe50788>
PRACTICE,/quotes/images/6797/large_20251211_thursday_quote.jpg,Practice is the best of all instructors.,<Author:0x00007fcdfbeafc88>
PRACTICE,/quotes/images/8465/large_20251210_wednesday_quote.jpg,"Talent is a pursued interest. Anything that you’re willing to practice, you can do.",<Author:0x00007fcdfbeaf508>
PRACTICE,/quotes/images/8464/large_20251209_tuesday_quote.jpg,The difference between ordinary and extraordinary is practice.,<Author:0x00007fcdfbeaf008>
PRACTICE,/quotes/images/8463/large_20251208_monday_quote.jpg,Practice creates confidence. Confidence empowers you.,<Author:0x00007fcdfbeae888>
GENEROSITY,/quotes/images/7159/large_20251205_friday_quote.jpg,No one has ever become poor by giving.,<Author:0x00007fcdfbeae108>
GENEROSITY,/quotes/images/8462/large_20251204_thursday_quote.jpg,"The more generous we are, the more joyous we become.",<Author:0x00007fcdfbead988>
GENEROSITY,/quotes/images/8461/large_20251203_wednesday_quote.jpg,"Sometimes when we are generous in small, barely detectable ways it can change someone else's life forever.",<Author:0x00007fcdfbead208>
GENEROSITY,/quotes/images/8460/large_20251202_tuesday_quote.jpg,The greatest gift you ever give is your honest self.,<Author:0x00007fcdfbeac308>
GENEROSITY,/quotes/images/5210/large_20251201_monday_quote.jpg,Good actions give strength to ourselves and inspire good actions in others.,<Author:0x00007fcdfbeaa788>
GRATITUDE,/quotes/images/8367/large_20251128_friday_quote.jpg,"The more grateful I am, the more beauty I see.",<Author:0x00007fcdfbeaa288>
GRATITUDE,/quotes/images/7426/large_20251127_thursday_quote.jpg,"As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them.",<Author:0x00007fcdfbea9b08>
GRATITUDE,/quotes/images/8400/large_20251126_wednesday_quote.jpg,Showing gratitude is one of the simplest yet most powerful things humans can do for each other.,<Author:0x00007fcdfbea8988>
GRATITUDE,/quotes/images/8157/large_20251125_tuesday_quote.jpg,Start each day with a positive thought and a grateful heart.,<Author:0x00007fcdfbea8208>
GRATITUDE,/quotes/images/8160/large_20251124_monday_quote.jpg,"Gratitude unlocks the fullness of life. It turns what we have into enough, and more.",<Author:0x00007fcdfbea76c8>
APPRECIATION,/quotes/images/3983/large_20251121_friday_quote.jpg,Yesterday is history. Tomorrow is a mystery. Today is a gift.,<Author:0x00007fcdfbea6408>
APPRECIATION,/quotes/images/6639/large_20251120_thursday_quote.jpg,Sometimes you will never know the value of a moment until it becomes a memory.,<Author:0x00007fcdfbea58c8>
APPRECIATION,/quotes/images/3072/large_20251119_wednesday_quote.jpg,The best way to pay for a lovely moment is to enjoy it.,<Author:0x00007fcdfbea4ec8>
APPRECIATION,/quotes/images/4298/large_20251118_tuesday_quote.jpg,Appreciation is a wonderful thing. It makes what is excellent in others belong to us as well.,<Author:0x00007fcdfbea44c8>
APPRECIATION,/quotes/images/6794/large_20251117_monday_quote.jpg,What counts can’t always be counted; what can be counted doesn’t always count.,<Author:0x00007fcdfbea3e88>
PURPOSE,/quotes/images/7304/large_20251114_friday_quote.jpg,The two most important days in your life are the day you are born and the day you find out why.,<Author:0x00007fcdfbea3488>
